subject,current_topic,score,time_spent,attempts,learning_style,next_topic
Python,OOP,17,107,5,Visual,OOP
CN,Routing,42,61,2,Visual,Routing
CN,Routing,67,78,3,Visual,Routing
Python,Functions,58,69,2,Visual,Functions
Python,File Handling,71,83,2,Kinesthetic,File Handling
DBMS,SQL,30,169,4,Visual,SQL
Python,Functions,87,75,1,Audio-Visual,Loops
OS,Processes,71,84,4,Audio-Visual,Processes
CN,TCP/IP,87,30,2,Kinesthetic,CN Revision
CN,Routing,44,79,2,Visual,Routing
Python,Functions,85,33,2,Visual,Loops
DSA,Arrays,77,118,3,Kinesthetic,Arrays
DSA,Stack,44,64,2,Visual,Stack
DBMS,Normalisation,79,109,4,Kinesthetic,Normalisation
Python,OOP,83,69,2,Visual,Functions
DBMS,SQL,83,52,1,Visual,Joins
OS,Threads,50,97,2,Visual,Threads
CN,Routing,42,64,3,Visual,Routing
OS,Processes,78,60,2,Kinesthetic,Processes
CN,Routing,97,30,2,Kinesthetic,OSI Model
DSA,Stack,64,106,4,Visual,Stack
Python,Loops,87,57,1,Kinesthetic,File Handling
DSA,Queue,82,52,1,Kinesthetic,Stack
CN,Routing,93,56,2,Visual,OSI Model
DBMS,SQL,33,135,4,Kinesthetic,SQL
Python,OOP,70,63,2,Kinesthetic,OOP
DSA,Linked List,67,59,3,Kinesthetic,Linked List
Python,OOP,75,61,2,Visual,OOP
DSA,Linked List,60,99,3,Kinesthetic,Linked List
OS,Scheduling,92,62,2,Visual,Threads
Python,OOP,44,111,4,Visual,OOP
Python,OOP,22,176,3,Kinesthetic,OOP
CN,Routing,46,103,4,Visual,Routing
OS,Processes,56,83,3,Visual,Processes
DBMS,Joins,39,162,3,Kinesthetic,Joins
OS,Processes,87,43,2,Audio-Visual,Scheduling
OS,Threads,60,63,2,Visual,Threads
CN,Routing,56,93,2,Audio-Visual,Routing
CN,OSI Model,81,25,2,Audio-Visual,TCP/IP
DSA,Arrays,97,65,2,Kinesthetic,Linked List
DSA,Queue,54,105,2,Audio-Visual,Queue
Python,Loops,83,42,2,Kinesthetic,File Handling
DSA,Stack,35,142,5,Audio-Visual,Stack
OS,Processes,37,94,4,Visual,Processes
DBMS,Joins,87,34,1,Audio-Visual,Normalisation
Python,Loops,62,118,3,Audio-Visual,Loops
OS,Processes,83,22,1,Visual,Scheduling
OS,Scheduling,78,99,4,Visual,Scheduling
Python,Functions,71,92,4,Audio-Visual,Functions
OS,Threads,90,45,2,Audio-Visual,OS Revision
DBMS,Normalisation,94,56,2,Visual,DBMS Revision
OS,Processes,90,49,2,Audio-Visual,Scheduling
DBMS,Normalisation,89,52,2,Kinesthetic,DBMS Revision
OS,Processes,61,81,3,Kinesthetic,Processes
DBMS,Joins,65,113,3,Visual,Joins
Python,OOP,75,116,3,Audio-Visual,OOP
Python,File Handling,96,55,2,Kinesthetic,Python Revision
CN,OSI Model,51,110,3,Visual,OSI Model
OS,Threads,58,106,2,Audio-Visual,Threads
OS,Scheduling,14,119,4,Visual,Scheduling
Python,File Handling,64,103,2,Audio-Visual,File Handling
CN,TCP/IP,98,44,2,Kinesthetic,CN Revision
DBMS,Joins,55,112,2,Visual,Joins
DBMS,Joins,66,71,3,Visual,Joins
CN,Routing,71,53,2,Audio-Visual,Routing
DBMS,SQL,70,77,3,Kinesthetic,SQL
DBMS,Joins,52,110,2,Audio-Visual,Joins
OS,Processes,40,55,2,Visual,Processes
Python,Functions,63,77,3,Kinesthetic,Functions
DSA,Queue,83,57,1,Kinesthetic,Stack
