student_id,subject,topic,score,time_spent,attempts,learning_style,quiz_performance,cluster,level
1,DSA,Queue,59,66,3,Kinesthetic,average,1,Intermediate
2,Python,OOP,74,15,1,Kinesthetic,good,2,Advanced
3,DBMS,SQL,85,10,5,Visual,good,2,Advanced
4,DBMS,Joins,88,50,2,Kinesthetic,good,0,Beginner
5,CN,Routing,86,102,2,Audio-Visual,good,0,Beginner
6,OS,Processes,51,41,5,Kinesthetic,average,2,Advanced
7,CN,OSI Model,38,57,5,Audio-Visual,poor,1,Intermediate
8,CN,OSI Model,76,32,3,Visual,good,2,Advanced
9,OS,Scheduling,56,51,4,Kinesthetic,average,2,Advanced
10,CN,OSI Model,52,60,2,Audio-Visual,average,1,Intermediate
11,CN,TCP/IP,45,53,4,Visual,average,1,Intermediate
12,DBMS,Joins,61,42,1,Kinesthetic,average,2,Advanced
13,OS,Scheduling,63,75,2,Audio-Visual,average,1,Intermediate
14,CN,TCP/IP,42,64,1,Kinesthetic,average,1,Intermediate
15,DSA,Stack,68,52,5,Audio-Visual,average,2,Advanced
16,DBMS,SQL,84,56,1,Visual,good,0,Beginner
17,OS,Threads,60,33,4,Kinesthetic,average,2,Advanced
18,OS,Scheduling,33,51,1,Audio-Visual,poor,1,Intermediate
19,OS,Scheduling,100,62,3,Visual,good,0,Beginner
20,CN,Routing,56,90,5,Kinesthetic,average,1,Intermediate
21,CN,Routing,83,79,3,Audio-Visual,good,0,Beginner
22,DBMS,Joins,74,63,4,Visual,good,0,Beginner
23,CN,TCP/IP,92,44,3,Visual,good,0,Beginner
24,CN,OSI Model,38,78,4,Kinesthetic,poor,1,Intermediate
25,DSA,Stack,38,85,5,Kinesthetic,poor,1,Intermediate
26,Python,Functions,62,56,4,Audio-Visual,average,2,Advanced
27,Python,OOP,50,59,3,Visual,average,1,Intermediate
28,OS,Threads,70,84,3,Audio-Visual,good,0,Beginner
29,OS,Scheduling,73,81,1,Kinesthetic,good,0,Beginner
30,DSA,Arrays,54,73,3,Audio-Visual,average,1,Intermediate
31,Python,Loops,42,47,2,Kinesthetic,average,2,Advanced
32,DSA,Linked List,55,71,2,Kinesthetic,average,1,Intermediate
33,CN,Routing,76,86,3,Visual,good,0,Beginner
34,Python,File Handling,81,26,5,Kinesthetic,good,2,Advanced
35,CN,TCP/IP,67,56,5,Visual,average,0,Beginner
36,Python,OOP,43,74,3,Visual,average,1,Intermediate
37,CN,Routing,60,81,2,Visual,average,1,Intermediate
38,DSA,Queue,92,53,2,Visual,good,0,Beginner
39,CN,TCP/IP,49,38,3,Audio-Visual,average,2,Advanced
40,Python,File Handling,92,38,3,Audio-Visual,good,0,Beginner
41,OS,Scheduling,100,44,4,Audio-Visual,good,0,Beginner
42,Python,OOP,82,27,3,Visual,good,2,Advanced
43,OS,Processes,55,60,1,Visual,average,1,Intermediate
44,OS,Scheduling,96,37,1,Kinesthetic,good,0,Beginner
45,Python,OOP,34,58,3,Visual,poor,1,Intermediate
46,DSA,Stack,59,19,1,Visual,average,2,Advanced
47,OS,Scheduling,54,32,5,Kinesthetic,average,2,Advanced
48,CN,Routing,51,60,2,Visual,average,1,Intermediate
49,OS,Scheduling,91,61,1,Audio-Visual,good,0,Beginner
50,DBMS,Joins,55,19,3,Kinesthetic,average,2,Advanced
51,Python,OOP,83,44,2,Visual,good,0,Beginner
52,OS,Threads,61,19,1,Kinesthetic,average,2,Advanced
53,DBMS,SQL,80,17,2,Kinesthetic,good,2,Advanced
54,OS,Threads,29,23,5,Audio-Visual,poor,2,Advanced
55,DBMS,SQL,74,95,3,Kinesthetic,good,0,Beginner
56,DSA,Linked List,27,54,2,Kinesthetic,poor,1,Intermediate
57,CN,TCP/IP,33,65,3,Visual,poor,1,Intermediate
58,Python,File Handling,50,84,5,Visual,average,1,Intermediate
59,CN,Routing,51,68,2,Visual,average,1,Intermediate
60,Python,Loops,93,45,4,Visual,good,0,Beginner
61,CN,OSI Model,60,85,5,Visual,average,1,Intermediate
62,DBMS,Normalization,78,77,3,Visual,good,0,Beginner
63,Python,Loops,66,59,3,Visual,average,0,Beginner
64,Python,OOP,36,74,1,Kinesthetic,poor,1,Intermediate
65,OS,Processes,31,85,1,Audio-Visual,poor,1,Intermediate
66,DBMS,Normalization,79,23,1,Audio-Visual,good,2,Advanced
67,DSA,Queue,84,57,3,Kinesthetic,good,0,Beginner
68,OS,Threads,71,77,1,Kinesthetic,good,0,Beginner
69,CN,Routing,32,96,4,Kinesthetic,poor,1,Intermediate
70,OS,Processes,74,52,2,Visual,good,0,Beginner
71,OS,Threads,56,44,4,Kinesthetic,average,2,Advanced
72,DBMS,SQL,50,42,1,Audio-Visual,average,2,Advanced
73,Python,Functions,99,50,2,Kinesthetic,good,0,Beginner
74,CN,Routing,67,62,3,Audio-Visual,average,0,Beginner
75,DBMS,SQL,78,38,5,Visual,good,2,Advanced
76,DBMS,Normalization,41,68,1,Kinesthetic,average,1,Intermediate
77,DBMS,Normalization,39,51,4,Audio-Visual,poor,1,Intermediate
78,DSA,Arrays,48,59,5,Audio-Visual,average,1,Intermediate
79,CN,Routing,60,61,2,Kinesthetic,average,1,Intermediate
80,Python,File Handling,68,37,4,Kinesthetic,average,2,Advanced
81,OS,Threads,66,63,4,Kinesthetic,average,0,Beginner
82,DSA,Stack,94,51,2,Kinesthetic,good,0,Beginner
83,OS,Processes,31,81,5,Kinesthetic,poor,1,Intermediate
84,DBMS,Normalization,65,59,2,Visual,average,0,Beginner
85,CN,Routing,70,26,5,Visual,good,2,Advanced
86,DBMS,Joins,66,67,5,Visual,average,0,Beginner
87,Python,Functions,57,98,5,Audio-Visual,average,1,Intermediate
88,CN,Routing,58,67,1,Kinesthetic,average,1,Intermediate
89,Python,File Handling,76,85,5,Audio-Visual,good,0,Beginner
90,CN,Routing,40,81,4,Audio-Visual,average,1,Intermediate
91,DSA,Queue,44,43,2,Kinesthetic,average,2,Advanced
92,DSA,Stack,79,78,5,Visual,good,0,Beginner
93,Python,Loops,84,70,5,Kinesthetic,good,0,Beginner
94,Python,File Handling,44,10,4,Audio-Visual,average,2,Advanced
95,DSA,Linked List,74,69,4,Audio-Visual,good,0,Beginner
96,CN,OSI Model,36,39,2,Kinesthetic,poor,2,Advanced
97,Python,File Handling,45,46,2,Audio-Visual,average,2,Advanced
98,OS,Threads,85,35,3,Audio-Visual,good,2,Advanced
99,CN,OSI Model,84,61,1,Audio-Visual,good,0,Beginner
100,Python,File Handling,67,119,1,Kinesthetic,average,1,Intermediate
101,CN,Routing,57,74,2,Audio-Visual,average,1,Intermediate
102,CN,TCP/IP,49,59,1,Visual,average,1,Intermediate
103,DBMS,SQL,10,59,2,Audio-Visual,poor,1,Intermediate
104,Python,File Handling,64,52,1,Kinesthetic,average,2,Advanced
105,DSA,Queue,15,72,4,Audio-Visual,poor,1,Intermediate
106,DBMS,SQL,61,49,1,Audio-Visual,average,2,Advanced
107,Python,OOP,38,74,2,Audio-Visual,poor,1,Intermediate
108,OS,Processes,70,78,4,Kinesthetic,good,0,Beginner
109,CN,OSI Model,43,58,5,Audio-Visual,average,1,Intermediate
110,CN,Routing,61,66,2,Audio-Visual,average,1,Intermediate
111,CN,OSI Model,45,39,1,Kinesthetic,average,2,Advanced
112,Python,Functions,83,81,3,Kinesthetic,good,0,Beginner
113,CN,OSI Model,45,66,3,Audio-Visual,average,1,Intermediate
114,Python,OOP,47,78,1,Kinesthetic,average,1,Intermediate
115,CN,Routing,69,89,5,Visual,average,0,Beginner
116,CN,Routing,39,103,2,Visual,poor,1,Intermediate
117,Python,Loops,56,52,4,Kinesthetic,average,2,Advanced
118,CN,TCP/IP,83,48,3,Kinesthetic,good,0,Beginner
119,DSA,Stack,79,38,1,Kinesthetic,good,2,Advanced
120,OS,Processes,54,63,2,Visual,average,1,Intermediate
121,DBMS,Normalization,61,67,4,Audio-Visual,average,1,Intermediate
122,DBMS,Joins,54,60,2,Visual,average,1,Intermediate
123,DSA,Arrays,39,73,2,Audio-Visual,poor,1,Intermediate
124,DSA,Linked List,69,55,3,Audio-Visual,average,0,Beginner
125,DBMS,Normalization,53,56,5,Kinesthetic,average,1,Intermediate
126,CN,OSI Model,75,32,1,Visual,good,2,Advanced
127,DSA,Arrays,71,60,5,Kinesthetic,good,0,Beginner
128,CN,OSI Model,100,78,4,Kinesthetic,good,0,Beginner
129,Python,File Handling,57,92,1,Visual,average,1,Intermediate
130,Python,Loops,58,46,3,Kinesthetic,average,2,Advanced
131,OS,Processes,61,45,1,Visual,average,2,Advanced
132,CN,Routing,65,88,3,Visual,average,1,Intermediate
