student_id,subject,topic,score,time_spent,attempts,learning_style,quiz_performance,learning_style_encoded,cluster,learner_group
1,DSA,Queue,59,66,3,Kinesthetic,average,2,2,Consistent Learner
2,Python,OOP,74,15,1,Kinesthetic,good,2,1,Struggling Learner
3,DBMS,SQL,85,10,5,Visual,good,0,2,Consistent Learner
4,DBMS,Joins,88,50,2,Kinesthetic,good,2,1,Struggling Learner
5,CN,Routing,86,102,2,Audio-Visual,good,1,0,Fast Learner
6,OS,Processes,51,41,5,Kinesthetic,average,2,2,Consistent Learner
7,CN,OSI Model,38,57,5,Audio-Visual,poor,1,2,Consistent Learner
8,CN,OSI Model,76,32,3,Visual,good,0,1,Struggling Learner
9,OS,Scheduling,56,51,4,Kinesthetic,average,2,2,Consistent Learner
10,CN,OSI Model,52,60,2,Audio-Visual,average,1,1,Struggling Learner
11,CN,TCP/IP,45,53,4,Visual,average,0,2,Consistent Learner
12,DBMS,Joins,61,42,1,Kinesthetic,average,2,1,Struggling Learner
13,OS,Scheduling,63,75,2,Audio-Visual,average,1,1,Struggling Learner
14,CN,TCP/IP,42,64,1,Kinesthetic,average,2,1,Struggling Learner
15,DSA,Stack,68,52,5,Audio-Visual,average,1,2,Consistent Learner
16,DBMS,SQL,84,56,1,Visual,good,0,1,Struggling Learner
17,OS,Threads,60,33,4,Kinesthetic,average,2,2,Consistent Learner
18,OS,Scheduling,33,51,1,Audio-Visual,poor,1,1,Struggling Learner
19,OS,Scheduling,100,62,3,Visual,good,0,1,Struggling Learner
20,CN,Routing,56,90,5,Kinesthetic,average,2,2,Consistent Learner
21,CN,Routing,83,79,3,Audio-Visual,good,1,0,Fast Learner
22,DBMS,Joins,74,63,4,Visual,good,0,2,Consistent Learner
23,CN,TCP/IP,92,44,3,Visual,good,0,1,Struggling Learner
24,CN,OSI Model,38,78,4,Kinesthetic,poor,2,2,Consistent Learner
25,DSA,Stack,38,85,5,Kinesthetic,poor,2,2,Consistent Learner
26,Python,Functions,62,56,4,Audio-Visual,average,1,2,Consistent Learner
27,Python,OOP,50,59,3,Visual,average,0,1,Struggling Learner
28,OS,Threads,70,84,3,Audio-Visual,good,1,2,Consistent Learner
29,OS,Scheduling,73,81,1,Kinesthetic,good,2,1,Struggling Learner
30,DSA,Arrays,54,73,3,Audio-Visual,average,1,2,Consistent Learner
31,Python,Loops,42,47,2,Kinesthetic,average,2,1,Struggling Learner
32,DSA,Linked List,55,71,2,Kinesthetic,average,2,1,Struggling Learner
33,CN,Routing,76,86,3,Visual,good,0,0,Fast Learner
34,Python,File Handling,81,26,5,Kinesthetic,good,2,2,Consistent Learner
35,CN,TCP/IP,67,56,5,Visual,average,0,2,Consistent Learner
36,Python,OOP,43,74,3,Visual,average,0,1,Struggling Learner
37,CN,Routing,60,81,2,Visual,average,0,1,Struggling Learner
38,DSA,Queue,92,53,2,Visual,good,0,1,Struggling Learner
39,CN,TCP/IP,49,38,3,Audio-Visual,average,1,2,Consistent Learner
40,Python,File Handling,92,38,3,Audio-Visual,good,1,2,Consistent Learner
41,OS,Scheduling,100,44,4,Audio-Visual,good,1,2,Consistent Learner
42,Python,OOP,82,27,3,Visual,good,0,1,Struggling Learner
43,OS,Processes,55,60,1,Visual,average,0,1,Struggling Learner
44,OS,Scheduling,96,37,1,Kinesthetic,good,2,1,Struggling Learner
45,Python,OOP,34,58,3,Visual,poor,0,1,Struggling Learner
46,DSA,Stack,59,19,1,Visual,average,0,1,Struggling Learner
47,OS,Scheduling,54,32,5,Kinesthetic,average,2,2,Consistent Learner
48,CN,Routing,51,60,2,Visual,average,0,1,Struggling Learner
49,OS,Scheduling,91,61,1,Audio-Visual,good,1,1,Struggling Learner
50,DBMS,Joins,55,19,3,Kinesthetic,average,2,2,Consistent Learner
51,Python,OOP,83,44,2,Visual,good,0,1,Struggling Learner
52,OS,Threads,61,19,1,Kinesthetic,average,2,1,Struggling Learner
53,DBMS,SQL,80,17,2,Kinesthetic,good,2,1,Struggling Learner
54,OS,Threads,29,23,5,Audio-Visual,poor,1,2,Consistent Learner
55,DBMS,SQL,74,95,3,Kinesthetic,good,2,0,Fast Learner
56,DSA,Linked List,27,54,2,Kinesthetic,poor,2,1,Struggling Learner
57,CN,TCP/IP,33,65,3,Visual,poor,0,1,Struggling Learner
58,Python,File Handling,50,84,5,Visual,average,0,2,Consistent Learner
59,CN,Routing,51,68,2,Visual,average,0,1,Struggling Learner
60,Python,Loops,93,45,4,Visual,good,0,2,Consistent Learner
61,CN,OSI Model,60,85,5,Visual,average,0,2,Consistent Learner
62,DBMS,Normalization,78,77,3,Visual,good,0,1,Struggling Learner
63,Python,Loops,66,59,3,Visual,average,0,1,Struggling Learner
64,Python,OOP,36,74,1,Kinesthetic,poor,2,1,Struggling Learner
65,OS,Processes,31,85,1,Audio-Visual,poor,1,1,Struggling Learner
66,DBMS,Normalization,79,23,1,Audio-Visual,good,1,1,Struggling Learner
67,DSA,Queue,84,57,3,Kinesthetic,good,2,2,Consistent Learner
68,OS,Threads,71,77,1,Kinesthetic,good,2,1,Struggling Learner
69,CN,Routing,32,96,4,Kinesthetic,poor,2,2,Consistent Learner
70,OS,Processes,74,52,2,Visual,good,0,1,Struggling Learner
71,OS,Threads,56,44,4,Kinesthetic,average,2,2,Consistent Learner
72,DBMS,SQL,50,42,1,Audio-Visual,average,1,1,Struggling Learner
73,Python,Functions,99,50,2,Kinesthetic,good,2,1,Struggling Learner
74,CN,Routing,67,62,3,Audio-Visual,average,1,2,Consistent Learner
75,DBMS,SQL,78,38,5,Visual,good,0,2,Consistent Learner
76,DBMS,Normalization,41,68,1,Kinesthetic,average,2,1,Struggling Learner
77,DBMS,Normalization,39,51,4,Audio-Visual,poor,1,2,Consistent Learner
78,DSA,Arrays,48,59,5,Audio-Visual,average,1,2,Consistent Learner
79,CN,Routing,60,61,2,Kinesthetic,average,2,1,Struggling Learner
80,Python,File Handling,68,37,4,Kinesthetic,average,2,2,Consistent Learner
81,OS,Threads,66,63,4,Kinesthetic,average,2,2,Consistent Learner
82,DSA,Stack,94,51,2,Kinesthetic,good,2,1,Struggling Learner
83,OS,Processes,31,81,5,Kinesthetic,poor,2,2,Consistent Learner
84,DBMS,Normalization,65,59,2,Visual,average,0,1,Struggling Learner
85,CN,Routing,70,26,5,Visual,good,0,2,Consistent Learner
86,DBMS,Joins,66,67,5,Visual,average,0,2,Consistent Learner
87,Python,Functions,57,98,5,Audio-Visual,average,1,2,Consistent Learner
88,CN,Routing,58,67,1,Kinesthetic,average,2,1,Struggling Learner
89,Python,File Handling,76,85,5,Audio-Visual,good,1,2,Consistent Learner
90,CN,Routing,40,81,4,Audio-Visual,average,1,2,Consistent Learner
91,DSA,Queue,44,43,2,Kinesthetic,average,2,1,Struggling Learner
92,DSA,Stack,79,78,5,Visual,good,0,2,Consistent Learner
93,Python,Loops,84,70,5,Kinesthetic,good,2,2,Consistent Learner
94,Python,File Handling,44,10,4,Audio-Visual,average,1,2,Consistent Learner
95,DSA,Linked List,74,69,4,Audio-Visual,good,1,2,Consistent Learner
96,CN,OSI Model,36,39,2,Kinesthetic,poor,2,1,Struggling Learner
97,Python,File Handling,45,46,2,Audio-Visual,average,1,1,Struggling Learner
98,OS,Threads,85,35,3,Audio-Visual,good,1,2,Consistent Learner
99,CN,OSI Model,84,61,1,Audio-Visual,good,1,1,Struggling Learner
100,Python,File Handling,67,119,1,Kinesthetic,average,2,0,Fast Learner
101,CN,Routing,57,74,2,Audio-Visual,average,1,1,Struggling Learner
102,CN,TCP/IP,49,59,1,Visual,average,0,1,Struggling Learner
103,DBMS,SQL,10,59,2,Audio-Visual,poor,1,1,Struggling Learner
104,Python,File Handling,64,52,1,Kinesthetic,average,2,1,Struggling Learner
105,DSA,Queue,15,72,4,Audio-Visual,poor,1,2,Consistent Learner
106,DBMS,SQL,61,49,1,Audio-Visual,average,1,1,Struggling Learner
107,Python,OOP,38,74,2,Audio-Visual,poor,1,1,Struggling Learner
108,OS,Processes,70,78,4,Kinesthetic,good,2,2,Consistent Learner
109,CN,OSI Model,43,58,5,Audio-Visual,average,1,2,Consistent Learner
110,CN,Routing,61,66,2,Audio-Visual,average,1,1,Struggling Learner
111,CN,OSI Model,45,39,1,Kinesthetic,average,2,1,Struggling Learner
112,Python,Functions,83,81,3,Kinesthetic,good,2,2,Consistent Learner
113,CN,OSI Model,45,66,3,Audio-Visual,average,1,2,Consistent Learner
114,Python,OOP,47,78,1,Kinesthetic,average,2,1,Struggling Learner
115,CN,Routing,69,89,5,Visual,average,0,2,Consistent Learner
116,CN,Routing,39,103,2,Visual,poor,0,1,Struggling Learner
117,Python,Loops,56,52,4,Kinesthetic,average,2,2,Consistent Learner
118,CN,TCP/IP,83,48,3,Kinesthetic,good,2,2,Consistent Learner
119,DSA,Stack,79,38,1,Kinesthetic,good,2,1,Struggling Learner
120,OS,Processes,54,63,2,Visual,average,0,1,Struggling Learner
121,DBMS,Normalization,61,67,4,Audio-Visual,average,1,2,Consistent Learner
122,DBMS,Joins,54,60,2,Visual,average,0,1,Struggling Learner
123,DSA,Arrays,39,73,2,Audio-Visual,poor,1,1,Struggling Learner
124,DSA,Linked List,69,55,3,Audio-Visual,average,1,2,Consistent Learner
125,DBMS,Normalization,53,56,5,Kinesthetic,average,2,2,Consistent Learner
126,CN,OSI Model,75,32,1,Visual,good,0,1,Struggling Learner
127,DSA,Arrays,71,60,5,Kinesthetic,good,2,2,Consistent Learner
128,CN,OSI Model,100,78,4,Kinesthetic,good,2,2,Consistent Learner
129,Python,File Handling,57,92,1,Visual,average,0,1,Struggling Learner
130,Python,Loops,58,46,3,Kinesthetic,average,2,2,Consistent Learner
131,OS,Processes,61,45,1,Visual,average,0,1,Struggling Learner
132,CN,Routing,65,88,3,Visual,average,0,0,Fast Learner
133,DSA,Queue,93,60,2,Visual,good,0,1,Struggling Learner
134,CN,TCP/IP,54,92,1,Audio-Visual,average,1,1,Struggling Learner
135,CN,TCP/IP,60,40,1,Visual,average,0,1,Struggling Learner
136,DBMS,SQL,86,43,1,Visual,good,0,1,Struggling Learner
137,DBMS,Joins,41,25,4,Visual,average,0,2,Consistent Learner
138,Python,Functions,42,38,3,Kinesthetic,average,2,2,Consistent Learner
139,Python,OOP,29,78,1,Kinesthetic,poor,2,1,Struggling Learner
140,Python,Loops,92,16,4,Visual,good,0,2,Consistent Learner
141,DBMS,Normalization,77,33,2,Kinesthetic,good,2,1,Struggling Learner
142,CN,TCP/IP,31,49,3,Visual,poor,0,1,Struggling Learner
143,DBMS,Joins,91,48,4,Audio-Visual,good,1,2,Consistent Learner
144,DSA,Stack,71,53,5,Visual,good,0,2,Consistent Learner
145,CN,OSI Model,94,38,4,Visual,good,0,2,Consistent Learner
146,OS,Threads,54,82,3,Audio-Visual,average,1,2,Consistent Learner
147,DBMS,Normalization,82,50,1,Visual,good,0,1,Struggling Learner
148,CN,OSI Model,55,46,1,Kinesthetic,average,2,1,Struggling Learner
149,CN,OSI Model,48,78,1,Audio-Visual,average,1,1,Struggling Learner
150,OS,Threads,42,80,3,Kinesthetic,average,2,2,Consistent Learner
151,OS,Scheduling,76,62,1,Kinesthetic,good,2,1,Struggling Learner
152,DSA,Queue,62,66,5,Kinesthetic,average,2,2,Consistent Learner
153,DSA,Arrays,58,44,2,Visual,average,0,1,Struggling Learner
154,CN,OSI Model,77,63,2,Kinesthetic,good,2,1,Struggling Learner
155,OS,Processes,65,39,4,Audio-Visual,average,1,2,Consistent Learner
156,CN,OSI Model,76,50,4,Visual,good,0,2,Consistent Learner
157,Python,Functions,51,61,2,Kinesthetic,average,2,1,Struggling Learner
158,Python,Loops,36,81,1,Visual,poor,0,1,Struggling Learner
159,DSA,Stack,72,69,3,Audio-Visual,good,1,2,Consistent Learner
160,DSA,Linked List,60,60,3,Kinesthetic,average,2,2,Consistent Learner
161,Python,File Handling,60,43,4,Visual,average,0,2,Consistent Learner
162,Python,File Handling,64,35,5,Kinesthetic,average,2,2,Consistent Learner
163,CN,Routing,34,16,2,Audio-Visual,poor,1,1,Struggling Learner
164,DBMS,Joins,56,55,3,Audio-Visual,average,1,2,Consistent Learner
165,Python,Functions,65,38,1,Audio-Visual,average,1,1,Struggling Learner
166,DSA,Queue,67,63,2,Visual,average,0,1,Struggling Learner
167,CN,TCP/IP,31,74,4,Audio-Visual,poor,1,2,Consistent Learner
168,Python,Functions,75,27,3,Visual,good,0,1,Struggling Learner
169,OS,Scheduling,100,75,2,Visual,good,0,0,Fast Learner
170,OS,Processes,56,81,1,Kinesthetic,average,2,1,Struggling Learner
171,OS,Processes,43,49,3,Audio-Visual,average,1,2,Consistent Learner
172,CN,Routing,35,35,4,Visual,poor,0,2,Consistent Learner
173,DBMS,Joins,62,56,2,Audio-Visual,average,1,1,Struggling Learner
174,CN,OSI Model,68,49,1,Kinesthetic,average,2,1,Struggling Learner
175,CN,TCP/IP,57,56,1,Audio-Visual,average,1,1,Struggling Learner
176,OS,Threads,100,67,2,Visual,good,0,1,Struggling Learner
177,CN,Routing,42,62,5,Audio-Visual,average,1,2,Consistent Learner
178,DSA,Queue,44,56,5,Visual,average,0,2,Consistent Learner
179,Python,Loops,27,93,2,Kinesthetic,poor,2,1,Struggling Learner
180,DBMS,Normalization,96,80,2,Visual,good,0,0,Fast Learner
181,DBMS,SQL,83,36,5,Audio-Visual,good,1,2,Consistent Learner
182,Python,OOP,55,52,3,Kinesthetic,average,2,2,Consistent Learner
183,Python,File Handling,45,78,3,Visual,average,0,1,Struggling Learner
184,CN,Routing,66,41,5,Kinesthetic,average,2,2,Consistent Learner
185,DBMS,Normalization,64,60,3,Audio-Visual,average,1,2,Consistent Learner
186,OS,Scheduling,54,50,5,Kinesthetic,average,2,2,Consistent Learner
187,DSA,Stack,100,57,1,Visual,good,0,1,Struggling Learner
188,Python,Functions,37,55,4,Audio-Visual,poor,1,2,Consistent Learner
189,OS,Processes,48,74,4,Visual,average,0,2,Consistent Learner
190,DSA,Stack,69,54,4,Audio-Visual,average,1,2,Consistent Learner
191,DBMS,Joins,47,60,2,Kinesthetic,average,2,1,Struggling Learner
192,OS,Processes,41,47,2,Audio-Visual,average,1,1,Struggling Learner
193,DSA,Queue,65,49,3,Kinesthetic,average,2,2,Consistent Learner
194,Python,File Handling,63,72,2,Kinesthetic,average,2,1,Struggling Learner
195,CN,Routing,75,59,1,Audio-Visual,good,1,1,Struggling Learner
196,DSA,Arrays,63,90,5,Visual,average,0,2,Consistent Learner
197,OS,Threads,42,76,4,Kinesthetic,average,2,2,Consistent Learner
198,Python,OOP,63,66,5,Visual,average,0,2,Consistent Learner
199,DBMS,Normalization,47,47,1,Audio-Visual,average,1,1,Struggling Learner
200,CN,TCP/IP,49,54,5,Audio-Visual,average,1,2,Consistent Learner
201,DBMS,Joins,71,76,5,Visual,good,0,2,Consistent Learner
202,OS,Threads,67,78,5,Visual,average,0,2,Consistent Learner
203,OS,Threads,86,51,1,Visual,good,0,1,Struggling Learner
204,DBMS,Normalization,64,28,2,Kinesthetic,average,2,1,Struggling Learner
205,Python,File Handling,70,106,4,Kinesthetic,good,2,2,Consistent Learner
206,DSA,Queue,62,71,5,Audio-Visual,average,1,2,Consistent Learner
207,Python,Loops,57,33,2,Kinesthetic,average,2,1,Struggling Learner
208,CN,OSI Model,70,44,2,Visual,good,0,1,Struggling Learner
209,DBMS,SQL,62,40,4,Kinesthetic,average,2,2,Consistent Learner
210,Python,OOP,80,53,2,Audio-Visual,good,1,1,Struggling Learner
211,Python,File Handling,58,83,2,Visual,average,0,1,Struggling Learner
212,DSA,Linked List,64,59,5,Audio-Visual,average,1,2,Consistent Learner
213,OS,Scheduling,72,73,4,Kinesthetic,good,2,2,Consistent Learner
214,DBMS,Joins,18,45,4,Audio-Visual,poor,1,2,Consistent Learner
215,DSA,Stack,73,58,3,Kinesthetic,good,2,2,Consistent Learner
216,DBMS,Normalization,26,63,3,Audio-Visual,poor,1,2,Consistent Learner
217,DSA,Stack,73,75,1,Kinesthetic,good,2,1,Struggling Learner
218,DSA,Queue,71,26,3,Visual,good,0,1,Struggling Learner
219,CN,OSI Model,100,62,5,Visual,good,0,2,Consistent Learner
220,CN,Routing,61,47,2,Visual,average,0,1,Struggling Learner
221,Python,Functions,65,64,3,Kinesthetic,average,2,2,Consistent Learner
222,OS,Scheduling,78,56,2,Kinesthetic,good,2,1,Struggling Learner
223,DBMS,SQL,43,85,1,Kinesthetic,average,2,1,Struggling Learner
224,DSA,Queue,72,18,1,Kinesthetic,good,2,1,Struggling Learner
225,OS,Processes,64,33,5,Visual,average,0,2,Consistent Learner
226,DSA,Arrays,74,96,5,Kinesthetic,good,2,2,Consistent Learner
227,DBMS,SQL,91,59,5,Visual,good,0,2,Consistent Learner
228,DBMS,Normalization,78,75,5,Kinesthetic,good,2,2,Consistent Learner
229,DSA,Linked List,63,73,4,Visual,average,0,2,Consistent Learner
230,Python,Functions,46,43,4,Audio-Visual,average,1,2,Consistent Learner
231,OS,Processes,76,74,5,Visual,good,0,2,Consistent Learner
232,CN,TCP/IP,53,71,2,Visual,average,0,1,Struggling Learner
233,OS,Threads,100,71,1,Audio-Visual,good,1,1,Struggling Learner
234,DBMS,Joins,84,68,1,Kinesthetic,good,2,1,Struggling Learner
235,CN,Routing,96,45,5,Kinesthetic,good,2,2,Consistent Learner
236,DBMS,SQL,66,46,1,Audio-Visual,average,1,1,Struggling Learner
237,OS,Processes,39,52,3,Audio-Visual,poor,1,2,Consistent Learner
238,CN,Routing,77,27,3,Kinesthetic,good,2,2,Consistent Learner
239,CN,TCP/IP,61,39,3,Visual,average,0,1,Struggling Learner
240,Python,Loops,48,25,3,Kinesthetic,average,2,2,Consistent Learner
241,DSA,Arrays,61,50,3,Audio-Visual,average,1,2,Consistent Learner
242,DSA,Stack,23,62,5,Audio-Visual,poor,1,2,Consistent Learner
243,DSA,Stack,95,66,1,Kinesthetic,good,2,1,Struggling Learner
244,OS,Processes,68,30,1,Audio-Visual,average,1,1,Struggling Learner
245,CN,Routing,46,71,1,Kinesthetic,average,2,1,Struggling Learner
246,DBMS,Normalization,40,71,1,Kinesthetic,average,2,1,Struggling Learner
247,DBMS,Normalization,65,22,2,Visual,average,0,1,Struggling Learner
248,DSA,Linked List,57,64,3,Kinesthetic,average,2,2,Consistent Learner
249,Python,Loops,46,47,3,Visual,average,0,1,Struggling Learner
250,OS,Threads,44,63,3,Visual,average,0,1,Struggling Learner
251,DSA,Queue,53,54,2,Visual,average,0,1,Struggling Learner
252,Python,Functions,61,50,4,Visual,average,0,2,Consistent Learner
253,DSA,Arrays,99,24,1,Audio-Visual,good,1,1,Struggling Learner
254,DBMS,Normalization,66,35,4,Kinesthetic,average,2,2,Consistent Learner
255,DBMS,Normalization,42,26,1,Kinesthetic,average,2,1,Struggling Learner
256,CN,Routing,35,53,1,Kinesthetic,poor,2,1,Struggling Learner
257,CN,Routing,36,57,4,Visual,poor,0,2,Consistent Learner
258,OS,Threads,66,63,3,Audio-Visual,average,1,2,Consistent Learner
259,OS,Scheduling,42,28,4,Audio-Visual,average,1,2,Consistent Learner
260,DBMS,Joins,59,47,5,Kinesthetic,average,2,2,Consistent Learner
261,DBMS,Normalization,95,40,1,Visual,good,0,1,Struggling Learner
262,OS,Processes,84,83,5,Audio-Visual,good,1,2,Consistent Learner
263,OS,Threads,81,52,1,Audio-Visual,good,1,1,Struggling Learner
264,OS,Scheduling,62,82,1,Kinesthetic,average,2,1,Struggling Learner
265,Python,Loops,41,102,4,Visual,average,0,2,Consistent Learner
266,Python,Functions,39,46,3,Kinesthetic,poor,2,2,Consistent Learner
267,OS,Scheduling,64,43,2,Visual,average,0,1,Struggling Learner
268,CN,OSI Model,76,54,1,Visual,good,0,1,Struggling Learner
269,OS,Scheduling,37,68,1,Kinesthetic,poor,2,1,Struggling Learner
270,DBMS,SQL,95,43,4,Kinesthetic,good,2,2,Consistent Learner
271,Python,Loops,57,10,4,Visual,average,0,2,Consistent Learner
272,CN,OSI Model,37,107,4,Visual,poor,0,2,Consistent Learner
273,DSA,Queue,27,69,4,Audio-Visual,poor,1,2,Consistent Learner
274,Python,File Handling,52,67,3,Visual,average,0,1,Struggling Learner
275,CN,OSI Model,12,53,5,Kinesthetic,poor,2,2,Consistent Learner
276,Python,File Handling,63,86,1,Kinesthetic,average,2,1,Struggling Learner
277,DSA,Linked List,28,58,2,Visual,poor,0,1,Struggling Learner
278,DSA,Arrays,84,50,2,Visual,good,0,1,Struggling Learner
279,CN,TCP/IP,62,68,3,Visual,average,0,1,Struggling Learner
280,OS,Processes,69,71,1,Kinesthetic,average,2,1,Struggling Learner
281,DSA,Queue,46,62,1,Kinesthetic,average,2,1,Struggling Learner
282,DBMS,Joins,80,62,1,Audio-Visual,good,1,1,Struggling Learner
283,CN,OSI Model,66,67,2,Audio-Visual,average,1,1,Struggling Learner
284,DBMS,Normalization,42,36,1,Kinesthetic,average,2,1,Struggling Learner
285,OS,Processes,62,59,3,Kinesthetic,average,2,2,Consistent Learner
286,Python,Functions,52,73,2,Visual,average,0,1,Struggling Learner
287,OS,Scheduling,99,46,5,Visual,good,0,2,Consistent Learner
288,DSA,Queue,72,39,3,Kinesthetic,good,2,2,Consistent Learner
289,DSA,Linked List,88,103,4,Audio-Visual,good,1,0,Fast Learner
290,DSA,Queue,58,53,5,Audio-Visual,average,1,2,Consistent Learner
291,Python,Loops,64,56,5,Visual,average,0,2,Consistent Learner
292,Python,Loops,59,50,5,Kinesthetic,average,2,2,Consistent Learner
293,CN,OSI Model,42,56,5,Visual,average,0,2,Consistent Learner
294,DSA,Linked List,43,85,1,Kinesthetic,average,2,1,Struggling Learner
295,DBMS,Joins,38,25,4,Kinesthetic,poor,2,2,Consistent Learner
296,OS,Scheduling,35,85,4,Kinesthetic,poor,2,2,Consistent Learner
297,DSA,Queue,58,54,2,Kinesthetic,average,2,1,Struggling Learner
298,OS,Processes,68,71,3,Visual,average,0,1,Struggling Learner
299,DBMS,Joins,67,54,4,Visual,average,0,2,Consistent Learner
300,DBMS,Joins,84,46,3,Kinesthetic,good,2,2,Consistent Learner
301,OS,Processes,95,37,1,Kinesthetic,good,2,1,Struggling Learner
302,DBMS,Joins,66,88,5,Kinesthetic,average,2,2,Consistent Learner
303,DBMS,Joins,69,34,4,Kinesthetic,average,2,2,Consistent Learner
304,DBMS,Joins,58,60,2,Kinesthetic,average,2,1,Struggling Learner
305,DSA,Stack,71,45,5,Kinesthetic,good,2,2,Consistent Learner
306,OS,Threads,78,61,5,Kinesthetic,good,2,2,Consistent Learner
307,DSA,Stack,49,62,3,Visual,average,0,1,Struggling Learner
308,DSA,Arrays,62,55,3,Visual,average,0,1,Struggling Learner
309,DBMS,SQL,77,64,3,Audio-Visual,good,1,2,Consistent Learner
310,CN,Routing,35,83,4,Audio-Visual,poor,1,2,Consistent Learner
311,CN,Routing,66,82,1,Visual,average,0,1,Struggling Learner
312,OS,Scheduling,55,28,5,Visual,average,0,2,Consistent Learner
313,DSA,Linked List,50,55,4,Visual,average,0,2,Consistent Learner
314,OS,Processes,75,70,3,Kinesthetic,good,2,2,Consistent Learner
315,CN,OSI Model,36,41,2,Visual,poor,0,1,Struggling Learner
316,Python,Loops,21,46,1,Audio-Visual,poor,1,1,Struggling Learner
317,DSA,Queue,53,60,3,Kinesthetic,average,2,2,Consistent Learner
318,OS,Scheduling,58,90,1,Audio-Visual,average,1,1,Struggling Learner
319,OS,Threads,89,29,1,Audio-Visual,good,1,1,Struggling Learner
320,OS,Scheduling,39,25,4,Kinesthetic,poor,2,2,Consistent Learner
321,Python,File Handling,95,73,4,Kinesthetic,good,2,2,Consistent Learner
322,Python,Functions,75,57,3,Audio-Visual,good,1,2,Consistent Learner
323,DSA,Linked List,64,55,5,Audio-Visual,average,1,2,Consistent Learner
324,OS,Processes,88,109,2,Visual,good,0,0,Fast Learner
325,Python,Functions,63,56,4,Visual,average,0,2,Consistent Learner
326,Python,Loops,51,38,1,Visual,average,0,1,Struggling Learner
327,DSA,Stack,47,56,1,Audio-Visual,average,1,1,Struggling Learner
328,OS,Threads,65,58,5,Audio-Visual,average,1,2,Consistent Learner
329,CN,TCP/IP,41,27,1,Kinesthetic,average,2,1,Struggling Learner
330,Python,Loops,56,58,2,Kinesthetic,average,2,1,Struggling Learner
331,DBMS,SQL,81,42,1,Visual,good,0,1,Struggling Learner
332,Python,OOP,63,51,1,Visual,average,0,1,Struggling Learner
