student_id,subject,topic,score,time_spent,attempts,learning_style,quiz_performance
1,DSA,Queue,59,66,3,Kinesthetic,average
2,Python,OOP,74,15,1,Kinesthetic,good
3,DBMS,SQL,85,10,5,Visual,good
4,DBMS,Joins,88,50,2,Kinesthetic,good
5,CN,Routing,86,102,2,Audio-Visual,good
6,OS,Processes,51,41,5,Kinesthetic,average
7,CN,OSI Model,38,57,5,Audio-Visual,poor
8,CN,OSI Model,76,32,3,Visual,good
9,OS,Scheduling,56,51,4,Kinesthetic,average
10,CN,OSI Model,52,60,2,Audio-Visual,average
11,CN,TCP/IP,45,53,4,Visual,average
12,DBMS,Joins,61,42,1,Kinesthetic,average
13,OS,Scheduling,63,75,2,Audio-Visual,average
14,CN,TCP/IP,42,64,1,Kinesthetic,average
15,DSA,Stack,68,52,5,Audio-Visual,average
16,DBMS,SQL,84,56,1,Visual,good
17,OS,Threads,60,33,4,Kinesthetic,average
18,OS,Scheduling,33,51,1,Audio-Visual,poor
19,OS,Scheduling,100,62,3,Visual,good
20,CN,Routing,56,90,5,Kinesthetic,average
21,CN,Routing,83,79,3,Audio-Visual,good
22,DBMS,Joins,74,63,4,Visual,good
23,CN,TCP/IP,92,44,3,Visual,good
24,CN,OSI Model,38,78,4,Kinesthetic,poor
25,DSA,Stack,38,85,5,Kinesthetic,poor
26,Python,Functions,62,56,4,Audio-Visual,average
27,Python,OOP,50,59,3,Visual,average
28,OS,Threads,70,84,3,Audio-Visual,good
29,OS,Scheduling,73,81,1,Kinesthetic,good
30,DSA,Arrays,54,73,3,Audio-Visual,average
31,Python,Loops,42,47,2,Kinesthetic,average
32,DSA,Linked List,55,71,2,Kinesthetic,average
33,CN,Routing,76,86,3,Visual,good
34,Python,File Handling,81,26,5,Kinesthetic,good
35,CN,TCP/IP,67,56,5,Visual,average
36,Python,OOP,43,74,3,Visual,average
37,CN,Routing,60,81,2,Visual,average
38,DSA,Queue,92,53,2,Visual,good
39,CN,TCP/IP,49,38,3,Audio-Visual,average
40,Python,File Handling,92,38,3,Audio-Visual,good
41,OS,Scheduling,100,44,4,Audio-Visual,good
42,Python,OOP,82,27,3,Visual,good
43,OS,Processes,55,60,1,Visual,average
44,OS,Scheduling,96,37,1,Kinesthetic,good
45,Python,OOP,34,58,3,Visual,poor
46,DSA,Stack,59,19,1,Visual,average
47,OS,Scheduling,54,32,5,Kinesthetic,average
48,CN,Routing,51,60,2,Visual,average
49,OS,Scheduling,91,61,1,Audio-Visual,good
50,DBMS,Joins,55,19,3,Kinesthetic,average
51,Python,OOP,83,44,2,Visual,good
52,OS,Threads,61,19,1,Kinesthetic,average
53,DBMS,SQL,80,17,2,Kinesthetic,good
54,OS,Threads,29,23,5,Audio-Visual,poor
55,DBMS,SQL,74,95,3,Kinesthetic,good
56,DSA,Linked List,27,54,2,Kinesthetic,poor
57,CN,TCP/IP,33,65,3,Visual,poor
58,Python,File Handling,50,84,5,Visual,average
59,CN,Routing,51,68,2,Visual,average
60,Python,Loops,93,45,4,Visual,good
61,CN,OSI Model,60,85,5,Visual,average
62,DBMS,Normalization,78,77,3,Visual,good
63,Python,Loops,66,59,3,Visual,average
64,Python,OOP,36,74,1,Kinesthetic,poor
65,OS,Processes,31,85,1,Audio-Visual,poor
66,DBMS,Normalization,79,23,1,Audio-Visual,good
67,DSA,Queue,84,57,3,Kinesthetic,good
68,OS,Threads,71,77,1,Kinesthetic,good
69,CN,Routing,32,96,4,Kinesthetic,poor
70,OS,Processes,74,52,2,Visual,good
71,OS,Threads,56,44,4,Kinesthetic,average
72,DBMS,SQL,50,42,1,Audio-Visual,average
73,Python,Functions,99,50,2,Kinesthetic,good
74,CN,Routing,67,62,3,Audio-Visual,average
75,DBMS,SQL,78,38,5,Visual,good
76,DBMS,Normalization,41,68,1,Kinesthetic,average
77,DBMS,Normalization,39,51,4,Audio-Visual,poor
78,DSA,Arrays,48,59,5,Audio-Visual,average
79,CN,Routing,60,61,2,Kinesthetic,average
80,Python,File Handling,68,37,4,Kinesthetic,average
81,OS,Threads,66,63,4,Kinesthetic,average
82,DSA,Stack,94,51,2,Kinesthetic,good
83,OS,Processes,31,81,5,Kinesthetic,poor
84,DBMS,Normalization,65,59,2,Visual,average
85,CN,Routing,70,26,5,Visual,good
86,DBMS,Joins,66,67,5,Visual,average
87,Python,Functions,57,98,5,Audio-Visual,average
88,CN,Routing,58,67,1,Kinesthetic,average
89,Python,File Handling,76,85,5,Audio-Visual,good
90,CN,Routing,40,81,4,Audio-Visual,average
91,DSA,Queue,44,43,2,Kinesthetic,average
92,DSA,Stack,79,78,5,Visual,good
93,Python,Loops,84,70,5,Kinesthetic,good
94,Python,File Handling,44,10,4,Audio-Visual,average
95,DSA,Linked List,74,69,4,Audio-Visual,good
96,CN,OSI Model,36,39,2,Kinesthetic,poor
97,Python,File Handling,45,46,2,Audio-Visual,average
98,OS,Threads,85,35,3,Audio-Visual,good
99,CN,OSI Model,84,61,1,Audio-Visual,good
100,Python,File Handling,67,119,1,Kinesthetic,average
101,CN,Routing,57,74,2,Audio-Visual,average
102,CN,TCP/IP,49,59,1,Visual,average
103,DBMS,SQL,10,59,2,Audio-Visual,poor
104,Python,File Handling,64,52,1,Kinesthetic,average
105,DSA,Queue,15,72,4,Audio-Visual,poor
106,DBMS,SQL,61,49,1,Audio-Visual,average
107,Python,OOP,38,74,2,Audio-Visual,poor
108,OS,Processes,70,78,4,Kinesthetic,good
109,CN,OSI Model,43,58,5,Audio-Visual,average
110,CN,Routing,61,66,2,Audio-Visual,average
111,CN,OSI Model,45,39,1,Kinesthetic,average
112,Python,Functions,83,81,3,Kinesthetic,good
113,CN,OSI Model,45,66,3,Audio-Visual,average
114,Python,OOP,47,78,1,Kinesthetic,average
115,CN,Routing,69,89,5,Visual,average
116,CN,Routing,39,103,2,Visual,poor
117,Python,Loops,56,52,4,Kinesthetic,average
118,CN,TCP/IP,83,48,3,Kinesthetic,good
119,DSA,Stack,79,38,1,Kinesthetic,good
120,OS,Processes,54,63,2,Visual,average
121,DBMS,Normalization,61,67,4,Audio-Visual,average
122,DBMS,Joins,54,60,2,Visual,average
123,DSA,Arrays,39,73,2,Audio-Visual,poor
124,DSA,Linked List,69,55,3,Audio-Visual,average
125,DBMS,Normalization,53,56,5,Kinesthetic,average
126,CN,OSI Model,75,32,1,Visual,good
127,DSA,Arrays,71,60,5,Kinesthetic,good
128,CN,OSI Model,100,78,4,Kinesthetic,good
129,Python,File Handling,57,92,1,Visual,average
130,Python,Loops,58,46,3,Kinesthetic,average
131,OS,Processes,61,45,1,Visual,average
132,CN,Routing,65,88,3,Visual,average
133,DSA,Queue,93,60,2,Visual,good
134,CN,TCP/IP,54,92,1,Audio-Visual,average
135,CN,TCP/IP,60,40,1,Visual,average
136,DBMS,SQL,86,43,1,Visual,good
137,DBMS,Joins,41,25,4,Visual,average
138,Python,Functions,42,38,3,Kinesthetic,average
139,Python,OOP,29,78,1,Kinesthetic,poor
140,Python,Loops,92,16,4,Visual,good
141,DBMS,Normalization,77,33,2,Kinesthetic,good
142,CN,TCP/IP,31,49,3,Visual,poor
143,DBMS,Joins,91,48,4,Audio-Visual,good
144,DSA,Stack,71,53,5,Visual,good
145,CN,OSI Model,94,38,4,Visual,good
146,OS,Threads,54,82,3,Audio-Visual,average
147,DBMS,Normalization,82,50,1,Visual,good
148,CN,OSI Model,55,46,1,Kinesthetic,average
149,CN,OSI Model,48,78,1,Audio-Visual,average
150,OS,Threads,42,80,3,Kinesthetic,average
151,OS,Scheduling,76,62,1,Kinesthetic,good
152,DSA,Queue,62,66,5,Kinesthetic,average
153,DSA,Arrays,58,44,2,Visual,average
154,CN,OSI Model,77,63,2,Kinesthetic,good
155,OS,Processes,65,39,4,Audio-Visual,average
156,CN,OSI Model,76,50,4,Visual,good
157,Python,Functions,51,61,2,Kinesthetic,average
158,Python,Loops,36,81,1,Visual,poor
159,DSA,Stack,72,69,3,Audio-Visual,good
160,DSA,Linked List,60,60,3,Kinesthetic,average
161,Python,File Handling,60,43,4,Visual,average
162,Python,File Handling,64,35,5,Kinesthetic,average
163,CN,Routing,34,16,2,Audio-Visual,poor
164,DBMS,Joins,56,55,3,Audio-Visual,average
165,Python,Functions,65,38,1,Audio-Visual,average
166,DSA,Queue,67,63,2,Visual,average
167,CN,TCP/IP,31,74,4,Audio-Visual,poor
168,Python,Functions,75,27,3,Visual,good
169,OS,Scheduling,100,75,2,Visual,good
170,OS,Processes,56,81,1,Kinesthetic,average
171,OS,Processes,43,49,3,Audio-Visual,average
172,CN,Routing,35,35,4,Visual,poor
173,DBMS,Joins,62,56,2,Audio-Visual,average
174,CN,OSI Model,68,49,1,Kinesthetic,average
175,CN,TCP/IP,57,56,1,Audio-Visual,average
176,OS,Threads,100,67,2,Visual,good
177,CN,Routing,42,62,5,Audio-Visual,average
178,DSA,Queue,44,56,5,Visual,average
179,Python,Loops,27,93,2,Kinesthetic,poor
180,DBMS,Normalization,96,80,2,Visual,good
181,DBMS,SQL,83,36,5,Audio-Visual,good
182,Python,OOP,55,52,3,Kinesthetic,average
183,Python,File Handling,45,78,3,Visual,average
184,CN,Routing,66,41,5,Kinesthetic,average
185,DBMS,Normalization,64,60,3,Audio-Visual,average
186,OS,Scheduling,54,50,5,Kinesthetic,average
187,DSA,Stack,100,57,1,Visual,good
188,Python,Functions,37,55,4,Audio-Visual,poor
189,OS,Processes,48,74,4,Visual,average
190,DSA,Stack,69,54,4,Audio-Visual,average
191,DBMS,Joins,47,60,2,Kinesthetic,average
192,OS,Processes,41,47,2,Audio-Visual,average
193,DSA,Queue,65,49,3,Kinesthetic,average
194,Python,File Handling,63,72,2,Kinesthetic,average
195,CN,Routing,75,59,1,Audio-Visual,good
196,DSA,Arrays,63,90,5,Visual,average
197,OS,Threads,42,76,4,Kinesthetic,average
198,Python,OOP,63,66,5,Visual,average
199,DBMS,Normalization,47,47,1,Audio-Visual,average
200,CN,TCP/IP,49,54,5,Audio-Visual,average
201,DBMS,Joins,71,76,5,Visual,good
202,OS,Threads,67,78,5,Visual,average
203,OS,Threads,86,51,1,Visual,good
204,DBMS,Normalization,64,28,2,Kinesthetic,average
205,Python,File Handling,70,106,4,Kinesthetic,good
206,DSA,Queue,62,71,5,Audio-Visual,average
207,Python,Loops,57,33,2,Kinesthetic,average
208,CN,OSI Model,70,44,2,Visual,good
209,DBMS,SQL,62,40,4,Kinesthetic,average
210,Python,OOP,80,53,2,Audio-Visual,good
211,Python,File Handling,58,83,2,Visual,average
212,DSA,Linked List,64,59,5,Audio-Visual,average
213,OS,Scheduling,72,73,4,Kinesthetic,good
214,DBMS,Joins,18,45,4,Audio-Visual,poor
215,DSA,Stack,73,58,3,Kinesthetic,good
216,DBMS,Normalization,26,63,3,Audio-Visual,poor
217,DSA,Stack,73,75,1,Kinesthetic,good
218,DSA,Queue,71,26,3,Visual,good
219,CN,OSI Model,100,62,5,Visual,good
220,CN,Routing,61,47,2,Visual,average
221,Python,Functions,65,64,3,Kinesthetic,average
222,OS,Scheduling,78,56,2,Kinesthetic,good
223,DBMS,SQL,43,85,1,Kinesthetic,average
224,DSA,Queue,72,18,1,Kinesthetic,good
225,OS,Processes,64,33,5,Visual,average
226,DSA,Arrays,74,96,5,Kinesthetic,good
227,DBMS,SQL,91,59,5,Visual,good
228,DBMS,Normalization,78,75,5,Kinesthetic,good
229,DSA,Linked List,63,73,4,Visual,average
230,Python,Functions,46,43,4,Audio-Visual,average
231,OS,Processes,76,74,5,Visual,good
232,CN,TCP/IP,53,71,2,Visual,average
233,OS,Threads,100,71,1,Audio-Visual,good
234,DBMS,Joins,84,68,1,Kinesthetic,good
235,CN,Routing,96,45,5,Kinesthetic,good
236,DBMS,SQL,66,46,1,Audio-Visual,average
237,OS,Processes,39,52,3,Audio-Visual,poor
238,CN,Routing,77,27,3,Kinesthetic,good
239,CN,TCP/IP,61,39,3,Visual,average
240,Python,Loops,48,25,3,Kinesthetic,average
241,DSA,Arrays,61,50,3,Audio-Visual,average
242,DSA,Stack,23,62,5,Audio-Visual,poor
243,DSA,Stack,95,66,1,Kinesthetic,good
244,OS,Processes,68,30,1,Audio-Visual,average
245,CN,Routing,46,71,1,Kinesthetic,average
246,DBMS,Normalization,40,71,1,Kinesthetic,average
247,DBMS,Normalization,65,22,2,Visual,average
248,DSA,Linked List,57,64,3,Kinesthetic,average
249,Python,Loops,46,47,3,Visual,average
250,OS,Threads,44,63,3,Visual,average
251,DSA,Queue,53,54,2,Visual,average
252,Python,Functions,61,50,4,Visual,average
253,DSA,Arrays,99,24,1,Audio-Visual,good
254,DBMS,Normalization,66,35,4,Kinesthetic,average
255,DBMS,Normalization,42,26,1,Kinesthetic,average
256,CN,Routing,35,53,1,Kinesthetic,poor
257,CN,Routing,36,57,4,Visual,poor
258,OS,Threads,66,63,3,Audio-Visual,average
259,OS,Scheduling,42,28,4,Audio-Visual,average
260,DBMS,Joins,59,47,5,Kinesthetic,average
261,DBMS,Normalization,95,40,1,Visual,good
262,OS,Processes,84,83,5,Audio-Visual,good
263,OS,Threads,81,52,1,Audio-Visual,good
264,OS,Scheduling,62,82,1,Kinesthetic,average
265,Python,Loops,41,102,4,Visual,average
266,Python,Functions,39,46,3,Kinesthetic,poor
267,OS,Scheduling,64,43,2,Visual,average
268,CN,OSI Model,76,54,1,Visual,good
269,OS,Scheduling,37,68,1,Kinesthetic,poor
270,DBMS,SQL,95,43,4,Kinesthetic,good
271,Python,Loops,57,10,4,Visual,average
272,CN,OSI Model,37,107,4,Visual,poor
273,DSA,Queue,27,69,4,Audio-Visual,poor
274,Python,File Handling,52,67,3,Visual,average
275,CN,OSI Model,12,53,5,Kinesthetic,poor
276,Python,File Handling,63,86,1,Kinesthetic,average
277,DSA,Linked List,28,58,2,Visual,poor
278,DSA,Arrays,84,50,2,Visual,good
279,CN,TCP/IP,62,68,3,Visual,average
280,OS,Processes,69,71,1,Kinesthetic,average
281,DSA,Queue,46,62,1,Kinesthetic,average
282,DBMS,Joins,80,62,1,Audio-Visual,good
283,CN,OSI Model,66,67,2,Audio-Visual,average
284,DBMS,Normalization,42,36,1,Kinesthetic,average
285,OS,Processes,62,59,3,Kinesthetic,average
286,Python,Functions,52,73,2,Visual,average
287,OS,Scheduling,99,46,5,Visual,good
288,DSA,Queue,72,39,3,Kinesthetic,good
289,DSA,Linked List,88,103,4,Audio-Visual,good
290,DSA,Queue,58,53,5,Audio-Visual,average
291,Python,Loops,64,56,5,Visual,average
292,Python,Loops,59,50,5,Kinesthetic,average
293,CN,OSI Model,42,56,5,Visual,average
294,DSA,Linked List,43,85,1,Kinesthetic,average
295,DBMS,Joins,38,25,4,Kinesthetic,poor
296,OS,Scheduling,35,85,4,Kinesthetic,poor
297,DSA,Queue,58,54,2,Kinesthetic,average
298,OS,Processes,68,71,3,Visual,average
299,DBMS,Joins,67,54,4,Visual,average
300,DBMS,Joins,84,46,3,Kinesthetic,good
301,OS,Processes,95,37,1,Kinesthetic,good
302,DBMS,Joins,66,88,5,Kinesthetic,average
303,DBMS,Joins,69,34,4,Kinesthetic,average
304,DBMS,Joins,58,60,2,Kinesthetic,average
305,DSA,Stack,71,45,5,Kinesthetic,good
306,OS,Threads,78,61,5,Kinesthetic,good
307,DSA,Stack,49,62,3,Visual,average
308,DSA,Arrays,62,55,3,Visual,average
309,DBMS,SQL,77,64,3,Audio-Visual,good
310,CN,Routing,35,83,4,Audio-Visual,poor
311,CN,Routing,66,82,1,Visual,average
312,OS,Scheduling,55,28,5,Visual,average
313,DSA,Linked List,50,55,4,Visual,average
314,OS,Processes,75,70,3,Kinesthetic,good
315,CN,OSI Model,36,41,2,Visual,poor
316,Python,Loops,21,46,1,Audio-Visual,poor
317,DSA,Queue,53,60,3,Kinesthetic,average
318,OS,Scheduling,58,90,1,Audio-Visual,average
319,OS,Threads,89,29,1,Audio-Visual,good
320,OS,Scheduling,39,25,4,Kinesthetic,poor
321,Python,File Handling,95,73,4,Kinesthetic,good
322,Python,Functions,75,57,3,Audio-Visual,good
323,DSA,Linked List,64,55,5,Audio-Visual,average
324,OS,Processes,88,109,2,Visual,good
325,Python,Functions,63,56,4,Visual,average
326,Python,Loops,51,38,1,Visual,average
327,DSA,Stack,47,56,1,Audio-Visual,average
328,OS,Threads,65,58,5,Audio-Visual,average
329,CN,TCP/IP,41,27,1,Kinesthetic,average
330,Python,Loops,56,58,2,Kinesthetic,average
331,DBMS,SQL,81,42,1,Visual,good
332,Python,OOP,63,51,1,Visual,average
333,DSA,Linked List,58,67,3,Audio-Visual,average
334,Python,File Handling,50,18,2,Audio-Visual,average
335,CN,OSI Model,75,65,2,Visual,good
336,Python,Functions,76,69,4,Audio-Visual,good
337,CN,TCP/IP,76,45,4,Visual,good
338,Python,Loops,45,51,5,Kinesthetic,average
339,Python,Functions,73,34,2,Kinesthetic,good
340,DBMS,Normalization,40,46,2,Audio-Visual,average
341,OS,Threads,71,36,3,Audio-Visual,good
342,CN,TCP/IP,72,79,4,Visual,good
343,DBMS,Normalization,21,56,2,Visual,poor
344,DSA,Stack,85,69,4,Visual,good
345,DBMS,Normalization,54,52,4,Audio-Visual,average
346,Python,Functions,59,51,3,Kinesthetic,average
347,Python,Loops,43,62,1,Audio-Visual,average
348,DSA,Arrays,57,47,4,Audio-Visual,average
349,DBMS,Joins,61,72,4,Audio-Visual,average
350,CN,Routing,65,62,2,Kinesthetic,average
351,Python,File Handling,62,81,5,Kinesthetic,average
352,CN,TCP/IP,59,58,3,Visual,average
353,CN,TCP/IP,63,67,3,Audio-Visual,average
354,DBMS,Joins,68,43,1,Audio-Visual,average
355,CN,TCP/IP,37,77,3,Kinesthetic,poor
